"id","location_srs","location_x","location_y","operator","elevation","slope","aspect","actively_saved","actively_saved_on_year","actively_saved_on_month","actively_saved_on_day","plot_file","calculated_elevation_range","calculated_elevation_range_label","calculated_aspect","calculated_aspect_label","calculated_slope","calculated_slope_label","disturbance","year","comment"
"22","EPSG:4326","8.485122643","51.10673942","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"23","EPSG:4326","8.3163288","51.10012777","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"24","EPSG:4326","8.234258103","51.05452964","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"25","EPSG:4326","8.21576798","51.01772321","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"26","EPSG:4326","8.249652676","51.08557176","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"27","EPSG:4326","8.411502515","51.10934716","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"28","EPSG:4326","8.319460097","51.04910894","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"29","EPSG:4326","8.236685229","51.03184206","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"30","EPSG:4326","7.880729999","51.17348916","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"31","EPSG:4326","8.381995403","50.9796217","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"32","EPSG:4326","8.272403616","50.97175511","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,"vor 2010"
"33","EPSG:4326","8.12649975","51.09061134","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"34","EPSG:4326","8.363373976","50.93259931","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"35","EPSG:4326","8.465936908","51.08647102","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"36","EPSG:4326","8.246832749","51.10134444","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"37","EPSG:4326","8.010404184","51.11464473","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"38","EPSG:4326","8.217453567","51.08729658","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
